DATE,LambertBridge.ft,LambertBridge.CFS,Mill.School.ft,Mill.Puccioni.in,Felta.in,Austin.ft,Austin.CFS,Mar14.in,Wil3.ft,Maacama.ft,Maacama.CFS,SantaRosa.ft,SantaRosa.CFS
1/1/2015,8.571875,141.7395833,down,down,3.032340116,3.890729167,103.1145833,19.96706508,1.554020833,5.5203125,46.03125,24.0296875,27.0625
1/2/2015,8.551770833,139.3333333,down,down,2.865953947,down,3.847627119,19.82920552,1.524979167,5.4859375,42.59375,24.00364583,25.23958333
1/3/2015,8.531145833,135.125,down,down,2.655834441,down,3.7768,19.69078946,1.502802083,5.455729167,39.57291667,23.9784375,23.60416667
1/4/2015,8.5121875,132.4166667,down,down,2.455950798,3.738333333,83.35555556,19.61103726,1.4831875,5.425625,36.5625,23.954375,21.95833333
1/5/2015,8.499479167,129.8958333,down,down,2.301809211,3.683894737,77.18947368,19.53125,1.468791667,5.3965625,33.70833333,23.9321875,20.875
1/6/2015,8.482291667,127.3958333,down,down,2.188331117,3.606067416,65.76404494,19.46808526,1.457135417,5.371041667,32.10416667,23.92458333,20.42708333
1/7/2015,8.456458333,124.0833333,down,8.971036585,2.072368421,3.579583333,61.11458333,19.36336443,1.444791667,5.341145833,29.4375,23.91208333,19.39583333
1/8/2015,8.445208333,122.5520833,down,8.875083112,1.974318484,3.557291667,57.47916667,19.32442411,1.433677083,5.315208333,27.52083333,23.89958333,18.75
1/9/2015,8.431875,119.375,down,8.753324468,1.893700133,3.535520833,54.10416667,19.23204796,1.423635417,5.297291667,26.66666667,23.88885417,18.1875
1/10/2015,8.4184375,117.1458333,down,8.636968085,1.805921053,3.516875,51.23958333,19.15267635,1.415104167,5.278229167,24.82291667,23.87145833,17.33333333
1/11/2015,8.405416667,116.0833333,down,8.509807181,1.711269947,3.499583333,48.77083333,19.09950625,1.40609375,5.260625,23.82291667,23.8546875,16.45833333
1/12/2015,8.393854167,113.7708333,down,8.378490691,1.612664474,3.480416667,46,19.48761666,1.3974375,5.2396875,22.14583333,23.84166667,15.76041667
1/13/2015,8.379166667,111.125,down,8.257563165,1.530501995,3.46125,43.35416667,19.6775266,1.392104167,5.221145833,21.29166667,23.826875,15.10416667
1/14/2015,8.334791667,105.9583333,down,8.152301747,1.446134868,3.449791667,41.96875,19.54745677,1.38490625,5.201354167,20.13541667,23.81416667,14.44791667
1/15/2015,8.3315625,105.40625,down,8.060172872,1.382563165,3.437291667,40.47916667,19.18133228,1.377614583,5.1890625,19,23.80447917,13.94791667
1/16/2015,8.347604167,106.9479167,down,8.102144282,1.44240359,3.465208333,44.04166667,19.0920047,1.382447917,5.2109375,20.64583333,23.80802083,14.11458333
1/17/2015,8.356875,108.375,down,7.997839096,1.4140625,3.445520833,41.45833333,18.93492338,1.372354167,5.20125,19.96875,23.8090625,14.23958333
1/18/2015,8.360416667,109.09375,down,7.919298537,1.348487367,3.422291667,38.22916667,18.90541891,1.36590625,5.175729167,18.55208333,23.7953125,13.45833333
1/19/2015,8.373020833,110.7708333,down,7.855718085,1.314967105,3.406041667,36.60416667,18.8659412,1.361125,5.1634375,17.96875,23.7878125,13.16666667
1/20/2015,8.3846875,112.0625,down,7.802111037,1.281582447,3.392291667,35.13541667,18.80942463,1.3555625,5.148333333,17,23.77833333,12.625
1/21/2015,8.395625,114.125,down,7.719254032,1.214677527,3.3815625,33.40625,18.74335115,1.349666667,5.1359375,16.59375,23.77145833,12.30208333
1/22/2015,8.347395833,107.2291667,down,7.633394282,1.147615132,3.3675,31.75,18.69847109,1.343552083,5.117291667,15.67708333,23.75927083,11.65625
1/23/2015,8.241458333,93.1875,down,7.563164894,1.095805921,3.3546875,30.46875,18.68256593,1.338885417,5.106354167,15,23.74729167,11.17708333
1/24/2015,8.226770833,90.35416667,down,7.507895612,1.089594415,3.3465625,29.65625,18.7037972,1.335552083,5.100625,14.97916667,23.7434375,11.04166667
