Tributary,ReachName,ReachID,Crew,Survey,Year,Fishing,Visibility,Weather,Comments,Season,Date
Sheephouse Creek,SHE 1,RR-SHE-000.00:003.55,NB HF,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS. STAFF at 1.64,2014-2015,2015-01-02
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,BW JS,SS,2015,,1,CLEAR SUNNY,THERMOMETER NOT WORKING,2014-2015,2015-01-05
Green Valley Creek,GRE 2,RR-GRE-012.49:016.09,BW JS,SS,2015,,1,CLEAR SUNNY,THERMOMETER NOT WORKING,2014-2015,2015-01-05
Pena Creek,PEN 3,RR-PEN-006.49:009.12,DD CM,SS,2015,,3,PARTLY CLOUDY,Entered Data in the office due to Allegro problems in the field ,2014-2015,2015-01-05
Pena Creek,PEN 4,RR-PEN-009.12:013.89,ADJ AN,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-05
Pena Creek,PEN 5,RR-PEN-013.89:017.04,SW ZR,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-05
Woods Creek,WOO 1,RR-DEA-000.00:001.03,SW ZR,SS,2015,,99,OVERCAST,,2014-2015,2015-01-05
Mill Creek,MIL 2,RR-MIL-003.03:005.75,ZR BW TB,SS,2015,,-9999,CLEAR SUNNY,,2014-2015,2015-01-06
Mill Creek,MIL 3,RR-MIL-005.75:009.98,HF MH ZS,SS,2015,,99,CLEAR SUNNY,"No temperature data, thermameter broken",2014-2015,2015-01-06
Pechaco Creek,PEC 1,RR-PEC-000.00:002.35,DD CM,SS,2015,,3,CLEAR SUNNY,"Pechaco Creek connected at mouth but too shallow for fish passage, fish passage throughout reach is minimal at high gradient areas; No Fish and No redds observed ",2014-2015,2015-01-06
Pena Creek,PEN 1,RR-PEN-000.00:004.05,ADJ WB,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-06
Purrington Creek,PUR 1,RR-PUR-000.00:004.50,AN SW,SS,2015,,99,CLEAR SUNNY,NO FISH,2014-2015,2015-01-06
Dutch Bill Creek,DUT 1,RR-DUT-000.00:004.81,AN CT TB,SS,2015,,99,CLEAR SUNNY,NO REDDS,2014-2015,2015-01-07
Dutch Bill Creek,DUT 2,RR-DUT-004.81:009.04,HF ZS SW,SS,2015,,99,CLEAR SUNNY,Broken Thermometer no temps taken,2014-2015,2015-01-07
Felta Creek,FEL 1,RR-FEL-000.00:001.83,DD JS,SS,2015,,4,CLEAR SUNNY,Mouth of Felta connected but too shallow for fish passage; NO FISH NO REDDS,2014-2015,2015-01-07
Mill Creek,MIL 1,RR-MIL-000.00:002.46,DD JS,SS,2015,,4,CLEAR SUNNY,3 possible old redds observed throughout reach- unmeasurable so crew did not call them redds,2014-2015,2015-01-07
Mill Creek,MIL 4,RR-MIL-009.98:014.06,SN MH,SS,2015,,99,CLEAR SUNNY,NO NEW REDDS OR FISH,2014-2015,2015-01-07
Mill Creek,MIL 5,RR-ANG-000.00:000.50,SN MH,SS,2015,,99,CLEAR SUNNY,NO FISH OR REDDS. OTTER,2014-2015,2015-01-07
Palmer Creek,PAL 1,RR-PAL-000.00:002.75,BW NB,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-07
Grape Creek,GRP 1,RR-GRP-000.00:001.39,JE MOH T,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-01-08
Grape Creek,GRP 2,RR-GRP-001.39:002.49,JE TB MOH,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-01-08
Santa Rosa Creek,SAN 8,RR-SAN-025.32:028.22,AN,SS,2015,,99,OVERCAST,NO FISH NO REDDS,2014-2015,2015-01-08
Santa Rosa Creek,SAN 9,RR-329-000.00:000.67,HF SW,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-08
Willow Creek,WIL 3,RR-WIL-003.49:006.15,WB ZR,SS,2015,,99,PARTLY CLOUDY,beautiful day,2014-2015,2015-01-08
Willow Creek,WIL 4,RR-WIL-006.15:009.16,DD MW,SS,2015,,99,OVERCAST,4 TEST REDDS BELOW 1st fish,2014-2015,2015-01-08
Wine Creek,WIN 1,RR-WIN-000.00:001.65,JE MOH TB,SS,2015,,99,PARTLY CLOUDY,NO FISH NO REDDS,2014-2015,2015-01-08
Maacama Creek,MAA 1,RR-MAA-000.00:002.63,GH MO,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-01-09
Redwood Creek,RED 1,RR-RED-000.00:001.66,NB ZR,SS,2015,,99,OVERCAST,1ST SURVEY,2014-2015,2015-01-09
Redwood Creek,RED 2,RR-RED-001.66:004.58,NB ZR,SS,2015,,99,OVERCAST,1ST SURVEY.,2014-2015,2015-01-09
Wallace Creek,WAL 2,RR-WAL-001.83:004.43,HF BW,SS,2015,,99,OVERCAST,,2014-2015,2015-01-09
Green Valley Creek,GRE 1,RR-GRE-007.80:012.49,ZR BW,SS,2015,,-9999,PARTLY CLOUDY,,2014-2015,2015-01-12
Mark West Creek,MAR 10,RR-MAR-027.19:030.60,SW DD,SS,2015,,99,OVERCAST,,2014-2015,2015-01-12
Mark West Creek,MAR 11,RR-MAR-030.60:033.75,JB ALJ,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-12
Mark West Creek,MAR 12,RR-MAR-033.75:037.32,EM HF,SS,2015,,99,PARTLY CLOUDY,,2014-2015,2015-01-12
Mark West Creek,MAR 14,RR-MAR-040.18:042.85,WB BCB,SS,2015,,99,PARTLY CLOUDY,no fish or redds observed. 1 dead smolt,2014-2015,2015-01-12
Austin Creek,AUS 5,RR-AUS-009.86:012.13,HF SW,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-13
Austin Creek,AUS 6,RR-AUS-012.13:015.94,AN JB,SS,2015,,99,CLEAR SUNNY,No fish seen,2014-2015,2015-01-13
Austin Creek,AUS 7,RR-AUS-015.94:018.53,AN JB,SS,2015,,99,CLEAR SUNNY,No fish or redds seen,2014-2015,2015-01-13
East Austin Creek,EAU 1,RR-EAU-000.00:002.00,DD BCB,SS,2015,,99,CLEAR SUNNY,,2014-2015,2015-01-13
Kidd Creek,KID 1,RR-KID-000.00:001.67,DD BB,SS,2015,,99,CLEAR SUNNY,NO FISH NO REDDS,2014-2015,2015-01-13
Maacama Creek,MAA 4,RR-695-000.00:000.60,JB AN,SS,2015,,99,CLEAR SUNNY,NO REDDS. Filled out recon sheet. First time surveying MAA 4. Wide channel with large cobble and very little canopy and boulder cover.,2014-2015,2015-01-14
