Tributary	ReachName	ReachID	Crew	Survey	Fishing	Visibility	Weather	Comments	Date	Season	Year	CohoIndividuals	SteelheadIndividuals	ChinookIndividuals	SalmonidSpIndividuals	CohoRedds	SteelheadRedds	ChinookRedds	SalmonidSpRedds
Sheephouse Creek	SHE 1	RR-SHE-000.00:003.55	NB HF	SS		99	CLEAR SUNNY	NO FISH NO REDDS. STAFF at 1.64	1/2/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Woods Creek	WOO 1	RR-DEA-000.00:001.03	SW ZR	SS		99	OVERCAST		1/5/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 2	RR-MIL-003.03:005.75	ZR BW TB	SS		-9999	CLEAR SUNNY		1/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 3	RR-MIL-005.75:009.98	HF MH ZS	SS		99	CLEAR SUNNY	"No temperature data, thermameter broken"	1/6/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mill Creek	MIL 1	RR-MIL-000.00:002.46	DD JS	SS		4	CLEAR SUNNY	3 possible old redds observed throughout reach- unmeasurable so crew did not call them redds	1/7/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Willow Creek	WIL 4	RR-WIL-006.15:009.16	DD MW	SS		99	OVERCAST	4 TEST REDDS BELOW 1st fish	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Santa Rosa Creek	SAN 8	RR-SAN-025.32:028.22	AN	SS		99	OVERCAST	NO FISH NO REDDS	1/8/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 14	RR-MAR-040.18:042.85	WB BCB	SS		99	PARTLY CLOUDY	no fish or redds observed. 1 dead smolt	1/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Mark West Creek	MAR 11	RR-MAR-030.60:033.75	JB ALJ	SS		99	CLEAR SUNNY		1/12/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	EM ZR	SS		99	OVERCAST		1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
Green Valley Creek	GRE 2	RR-GRE-012.49:016.09	ZR EM	SS		99	OVERCAST		1/15/2015 0:00	2014-2015	2015	0	0	0	0	0	0	0	0
